set_num,last_6_months_new_total_lots,last_6_months_new_total_qty,last_6_months_new_min_price,last_6_months_new_avg_price,last_6_months_new_qty_avg_price,last_6_months_new_max_price,last_6_months_used_total_lots,last_6_months_used_total_qty,last_6_months_used_min_price,last_6_months_used_avg_price,last_6_months_used_qty_avg_price,last_6_months_used_max_price,current_new_total_lots,current_new_total_qty,current_new_min_price,current_new_avg_price,current_new_qty_avg_price,current_new_max_price,current_used_total_lots,current_used_total_qty,current_used_min_price,current_used_avg_price,current_used_qty_avg_price,current_used_max_price
224-1,,,,,,,,,,,,,,,,,,,,,,,,
2693-1,,,,,,,1,1,1,US $37.64,US $37.64,US $37.64,,,,,,,2,2,2,US $37.96,US $37.96,US $37.97
2783-1,,,,,,,,,,,,,1,1,1,US $18.76,US $18.76,US $18.76,3,3,3,US $13.76,US $13.76,US $16.21
2785-1,,,,,,,,,,,,,,,,,,,1,1,1,US $27.10,US $27.10,US $27.10
2796-1,,,,,,,,,,,,,,,,,,,1,1,1,US $54.22,US $54.22,US $54.22
2915-1,,,,,,,,,,,,,1,1,1,US $25.00,US $25.00,US $25.00,,,,,,
2925-1,,,,,,,,,,,,,1,1,1,US $75.91,US $75.91,US $75.91,2,2,2,US $35.40,US $35.40,US $48.80
2945-1,,,,,,,,,,,,,,,,,,,1,1,1,US $51.51,US $51.51,US $51.51
2960-1,,,,,,,1,1,1,US $82.11,US $82.11,US $82.11,,,,,,,2,2,2,US $74.00,US $74.00,US $78.00
4130-1,1,2,1,US $4.76,US $4.76,US $4.76,,,,,,,1,2,1,US $14.92,US $14.92,US $14.92,4,4,4,US $2.94,US $2.94,US $5.42
4131-1,,,,,,,,,,,,,5,5,5,US $17.22,US $17.22,US $22.77,2,2,2,US $4.34,US $4.34,US $5.42
4132-1,,,,,,,1,1,1,US $10.58,US $10.58,US $10.58,1,1,1,US $32.53,US $32.53,US $32.53,3,4,3,US $19.83,US $16.50,US $39.99
4133-1,,,,,,,,,,,,,,,,,,,4,4,4,US $15.72,US $15.72,US $21.20
4134-1,,,,,,,,,,,,,1,1,1,US $37.95,US $37.95,US $37.95,2,2,2,US $11.84,US $11.84,US $15.00
4142-1,,,,,,,,,,,,,5,5,5,US $24.51,US $24.51,US $29.97,5,5,5,US $12.60,US $12.60,US $17.98
4143-1,,,,,,,,,,,,,,,,,,,2,2,2,US $18.98,US $18.98,US $21.69
4144-1,,,,,,,,,,,,,1,1,1,US $116.29,US $116.29,US $116.29,,,,,,
4145-1,,,,,,,,,,,,,3,3,3,US $103.02,US $103.02,US $113.85,5,5,5,US $30.47,US $30.47,US $49.99
4146-1,,,,,,,,,,,,,,,,,,,1,1,1,US $27.11,US $27.11,US $27.11
4150-1,,,,,,,,,,,,,3,4,3,US $13.02,US $14.43,US $18.65,3,3,3,US $5.47,US $5.47,US $7.00
4151-1,,,,,,,,,,,,,1,1,1,US $69.99,US $69.99,US $69.99,6,6,6,US $24.78,US $24.78,US $38.00
4152-1,,,,,,,,,,,,,,,,,,,1,1,1,US $38.15,US $38.15,US $38.15
4153-1,,,,,,,,,,,,,1,1,1,US $108.44,US $108.44,US $108.44,3,3,3,US $57.51,US $57.51,US $100.00
4161-1,,,,,,,1,1,1,US $14.88,US $14.88,US $14.88,2,2,2,US $96.15,US $96.15,US $99.99,5,5,5,US $44.35,US $44.35,US $54.22
4162-1,,,,,,,2,2,2,US $25.31,US $25.31,US $29.73,1,1,1,US $100.00,US $100.00,US $100.00,5,5,5,US $29.26,US $29.26,US $50.00
4163-1,,,,,,,,,,,,,3,4,3,US $127.68,US $125.76,US $174.33,4,4,4,US $38.22,US $38.22,US $48.80
4552-1,,,,,,,8,8,8,US $101.26,US $101.26,US $137.16,5,5,5,US $257.75,US $257.75,US $350.00,17,17,17,US $91.15,US $91.15,US $143.68
4555-1,2,2,2,US $297.16,US $297.16,US $319.11,7,7,7,US $210.21,US $210.21,US $275.00,6,6,6,US $586.86,US $586.86,US $866.44,22,22,22,US $232.24,US $232.24,US $301.23
5088-1,,,,,,,,,,,,,1,1,1,US $16.27,US $16.27,US $16.27,,,,,,
5125-1,1,1,1,US $25.07,US $25.07,US $25.07,,,,,,,5,10,5,US $28.83,US $25.45,US $39.99,,,,,,
5126-1,,,,,,,,,,,,,1,3,1,US $15.00,US $15.00,US $15.00,1,1,1,US $15.49,US $15.49,US $15.49
5127-1,,,,,,,,,,,,,3,4,3,US $20.56,US $20.42,US $21.69,,,,,,
5132-1,3,3,3,US $12.14,US $12.14,US $16.17,,,,,,,2,2,2,US $13.24,US $13.24,US $13.99,1,1,1,US $10.99,US $10.99,US $10.99
5134-1,,,,,,,,,,,,,1,2,1,US $45.00,US $45.00,US $45.00,1,1,1,US $37.50,US $37.50,US $37.50
5135-1,1,1,1,US $67.74,US $67.74,US $67.74,,,,,,,,,,,,,,,,,,
5136-1,,,,,,,,,,,,,3,5,3,US $10.12,US $10.41,US $10.84,,,,,,
5160-1,1,4,1,US $24.79,US $24.79,US $24.79,,,,,,,,,,,,,,,,,,
5268-1,1,2,1,US $6.42,US $6.42,US $6.42,,,,,,,4,8,4,US $4.85,US $5.29,US $6.45,,,,,,
5269-1,,,,,,,,,,,,,6,18,6,US $3.43,US $3.65,US $4.99,,,,,,
5287-1,1,1,1,US $12.25,US $12.25,US $12.25,,,,,,,4,7,4,US $11.00,US $10.94,US $13.56,,,,,,
5288-1,2,2,2,US $6.96,US $6.96,US $7.17,,,,,,,4,53,4,US $9.88,US $9.72,US $10.74,,,,,,
6008-1,6,6,6,US $80.43,US $80.43,US $115.00,22,22,22,US $17.60,US $17.60,US $39.95,17,22,17,US $128.57,US $115.20,US $400.00,38,46,38,US $21.93,US $21.50,US $43.37
6036-1,4,4,4,US $111.58,US $111.58,US $135.00,35,35,35,US $22.65,US $22.65,US $41.78,7,7,7,US $114.87,US $114.87,US $162.66,66,70,66,US $28.69,US $28.21,US $69.68
6044-1,1,1,1,US $182.44,US $182.44,US $182.44,24,24,24,US $54.14,US $54.14,US $89.25,6,6,6,US $309.26,US $309.26,US $325.32,36,37,36,US $70.43,US $69.52,US $195.09
6078-1,4,4,4,US $282.56,US $282.56,US $375.00,18,18,18,US $101.68,US $101.68,US $175.00,4,5,4,US $380.00,US $378.00,US $400.00,45,50,45,US $141.53,US $139.65,US $271.10
6090-1,3,3,3,"US $2,034.17","US $2,034.17","US $3,000.00",28,28,28,US $300.27,US $300.27,US $607.27,2,2,2,"US $2,970.77","US $2,970.77","US $4,066.54",55,55,55,US $369.94,US $369.94,US $661.19
6115-1,,,,,,,56,58,56,US $5.02,US $5.06,US $13.13,5,7,5,US $32.42,US $31.68,US $38.46,91,99,91,US $7.90,US $7.68,US $40.00
6125-1,1,1,1,US $54.35,US $54.35,US $54.35,54,56,54,US $5.97,US $5.92,US $20.00,9,15,9,US $54.51,US $52.23,US $100.00,89,97,89,US $10.52,US $10.60,US $45.00
6155-1,1,1,1,US $200.00,US $200.00,US $200.00,39,39,39,US $27.41,US $27.41,US $56.49,,,,,,,44,44,44,US $36.44,US $36.44,US $80.00
6175-1,,,,,,,30,30,30,US $38.46,US $38.46,US $59.38,5,6,5,US $205.53,US $209.79,US $273.60,66,67,66,US $57.66,US $57.62,US $336.17
6195-1,3,3,3,US $617.05,US $617.05,US $650.00,35,35,35,US $134.06,US $134.06,US $205.81,1,3,1,US $627.18,US $627.18,US $627.18,39,39,39,US $176.03,US $176.03,US $399.99
6254-1,1,1,1,US $217.63,US $217.63,US $217.63,15,15,15,US $45.75,US $45.75,US $76.24,3,3,3,US $213.76,US $213.76,US $250.00,24,26,24,US $53.06,US $52.66,US $94.48
6263-1,2,2,2,US $417.23,US $417.23,US $434.47,12,12,12,US $145.37,US $145.37,US $204.68,11,13,11,US $419.62,US $422.30,US $500.00,24,24,24,US $150.74,US $150.74,US $195.00
6279-1,2,2,2,US $797.50,US $797.50,US $850.00,9,9,9,US $123.64,US $123.64,US $172.00,7,7,7,US $808.30,US $808.30,"US $1,119.30",39,39,39,US $168.24,US $168.24,US $325.73
6336-1,,,,,,,15,16,15,US $18.49,US $17.89,US $29.00,,,,,,,39,42,39,US $24.43,US $24.81,US $54.22
6338-1,1,1,1,US $199.99,US $199.99,US $199.99,4,4,4,US $103.60,US $103.60,US $150.00,6,6,6,US $333.74,US $333.74,US $541.12,16,16,16,US $101.83,US $101.83,US $153.55
6339-1,1,1,1,US $540.53,US $540.53,US $540.53,16,16,16,US $118.04,US $118.04,US $204.53,1,1,1,US $487.98,US $487.98,US $487.98,21,21,21,US $142.99,US $142.99,US $211.46
6414-1,,,,,,,7,7,7,US $128.04,US $128.04,US $200.00,3,4,3,US $484.41,US $470.40,US $525.00,15,15,15,US $119.43,US $119.43,US $145.00
6484-1,1,1,1,US $220.34,US $220.34,US $220.34,8,8,8,US $97.33,US $97.33,US $162.06,2,2,2,US $299.50,US $299.50,US $300.00,5,5,5,US $116.73,US $116.73,US $144.89
6516-1,8,8,8,US $30.54,US $30.54,US $35.00,16,16,16,US $4.64,US $4.64,US $7.71,4,6,4,US $46.47,US $64.31,US $100.00,43,69,43,US $8.21,US $5.47,US $42.00
6525-1,3,3,3,US $21.67,US $21.67,US $25.00,18,18,18,US $4.82,US $4.82,US $7.05,2,4,2,US $29.74,US $29.87,US $30.00,46,50,46,US $6.02,US $5.95,US $17.50
6535-1,1,1,1,US $36.52,US $36.52,US $36.52,16,18,16,US $7.49,US $7.99,US $19.12,8,8,8,US $53.39,US $53.39,US $70.65,43,52,43,US $9.32,US $9.44,US $50.00
6544-1,3,3,3,US $221.89,US $221.89,US $275.00,11,11,11,US $88.33,US $88.33,US $199.99,1,1,1,US $216.88,US $216.88,US $216.88,16,16,16,US $96.41,US $96.41,US $184.35
